code_mun,rice_crop,corn_crop,soybean_crop
4300034,8249,1500,25000
4300059,NA,1300,14800
4300109,9017,3500,1000
4300208,NA,955,20000
4300307,1,1400,2200
4300406,53240,3800,60000
4300455,NA,1700,7432
4300471,NA,930,16640
4300505,5,3300,1200
4300554,NA,380,6000
4300570,NA,150,NA
4300604,NA,NA,35
4300638,153,1600,2000
4300646,5,700,600
4300661,NA,4000,16000
4300703,5,3350,350
4300802,NA,1500,NA
4300851,13978,78,8630
4300877,NA,NA,NA
4300901,NA,2500,1200
4301008,NA,1300,1000
4301057,NA,50,NA
4301073,NA,600,500
4301107,NA,400,4000
4301206,NA,3150,9000
4301305,30263,1020,44530
4301404,1,1500,1700
4301503,NA,440,19500
4301552,NA,1200,6500
4301602,8253,400,40000
4301636,528,4,70
4301651,1,780,NA
4301701,NA,4148,6413
4301750,310,1000,800
4301800,NA,3000,25200
4301859,NA,500,1850
4301875,23738,NA,1041
4301909,12486,250,6100
4301925,NA,1100,1100
4301958,1,450,3400
4302006,NA,2000,9000
4302055,NA,600,1500
4302105,NA,100,NA
4302154,3,3500,14800
4302204,NA,1500,2350
4302220,NA,2000,41200
4302238,NA,1350,32700
4302253,NA,485,NA
4302303,NA,9500,9000
4302352,5,400,NA
4303004,25037,3500,105500
4303103,NA,NA,NA
4303202,NA,850,9200
4303301,30,2480,15320
4303400,5,3000,3200
4303509,28730,4000,27000
4303558,NA,250,6250
4303608,NA,400,550
4303673,NA,1600,7000
4303707,NA,2030,5514
4303806,NA,1800,16000
4303905,NA,30,NA
4304002,NA,3000,11500
4304101,NA,190,9075
4304200,7000,5160,19500
4304309,NA,2642,8800
4304358,900,1000,18000
4304408,NA,150,NA
4304507,337,10000,43000
4304606,600,NA,80
4304614,NA,300,NA
4304622,NA,3300,26500
4304630,NA,5,NA
4304655,NA,720,63700
4304663,6167,340,9150
4304671,9664,26,7000
4304689,1850,40,200
4304697,NA,50,NA
4304705,NA,3000,39720
4304713,272,1100,40
4304804,NA,900,NA
4304853,2,1000,3400
4304903,NA,3000,8700
4304952,NA,700,8000
4305009,NA,2220,34500
4305108,NA,7000,350
4305116,6,900,6300
4305124,155,1000,6800
4305132,1050,590,1200
