code_mun,mesoregion
4309571,Centro Oriental Rio-grandense
4309605,Noroeste Rio-grandense
4309654,Sudoeste Rio-grandense
4309704,Noroeste Rio-grandense
4309753,Centro Oriental Rio-grandense
4309803,Noroeste Rio-grandense
4309902,Noroeste Rio-grandense
4309951,Noroeste Rio-grandense
4310009,Noroeste Rio-grandense
4310108,Metropolitana de Porto Alegre
4310207,Noroeste Rio-grandense
4310330,Metropolitana de Porto Alegre
4310363,Centro Oriental Rio-grandense
4310405,Noroeste Rio-grandense
4310413,Noroeste Rio-grandense
4310462,Noroeste Rio-grandense
4310504,Noroeste Rio-grandense
4310538,Centro Ocidental Rio-grandense
4310553,Centro Ocidental Rio-grandense
4310603,Sudoeste Rio-grandense
4310702,Noroeste Rio-grandense
4310751,Centro Ocidental Rio-grandense
4310801,Metropolitana de Porto Alegre
4310850,Noroeste Rio-grandense
4310900,Noroeste Rio-grandense
4311007,Sudeste Rio-grandense
4311106,Centro Ocidental Rio-grandense
4311130,Centro Ocidental Rio-grandense
4311155,Noroeste Rio-grandense
4311205,Centro Ocidental Rio-grandense
4311254,Noroeste Rio-grandense
4311270,Noroeste Rio-grandense
4311403,Centro Oriental Rio-grandense
4311429,Noroeste Rio-grandense
4311502,Sudoeste Rio-grandense
4311601,Noroeste Rio-grandense
4311627,Metropolitana de Porto Alegre
4311643,Metropolitana de Porto Alegre
4311700,Noroeste Rio-grandense
4311718,Sudoeste Rio-grandense
4311734,Metropolitana de Porto Alegre
4311759,Sudoeste Rio-grandense
4311775,Metropolitana de Porto Alegre
4311791,Metropolitana de Porto Alegre
4311809,Noroeste Rio-grandense
4311908,Noroeste Rio-grandense
4311981,Metropolitana de Porto Alegre
4312005,Noroeste Rio-grandense
4312054,Centro Oriental Rio-grandense
4312104,Centro Ocidental Rio-grandense
4312138,Noroeste Rio-grandense
4312153,Centro Oriental Rio-grandense
4312203,Noroeste Rio-grandense
4312252,Metropolitana de Porto Alegre
4312302,Noroeste Rio-grandense
4312401,Metropolitana de Porto Alegre
4312427,Noroeste Rio-grandense
4312443,Metropolitana de Porto Alegre
4312450,Sudeste Rio-grandense
4312476,Metropolitana de Porto Alegre
4312500,Metropolitana de Porto Alegre
4312609,Centro Oriental Rio-grandense
4312625,Noroeste Rio-grandense
4312658,Noroeste Rio-grandense
4312674,Noroeste Rio-grandense
4312708,Noroeste Rio-grandense
4312955,Noroeste Rio-grandense
4313003,Centro Oriental Rio-grandense
4313011,Noroeste Rio-grandense
4313037,Centro Ocidental Rio-grandense
4313060,Metropolitana de Porto Alegre
4313102,Centro Ocidental Rio-grandense
4313201,Metropolitana de Porto Alegre
4313334,Noroeste Rio-grandense
