"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias"
"Cód.","Município","2020"
"Cód.","Município","Arroz (em casca)","Milho (em grão)","Soja (em grão)"
"4300034","Aceguá (RS)","8249","1500","25000"
"4300059","Água Santa (RS)","-","1300","14800"
"4300109","Agudo (RS)","9017","3500","1000"
"4300208","Ajuricaba (RS)","-","955","20000"
"4300307","Alecrim (RS)","1","1400","2200"
"4300406","Alegrete (RS)","53240","3800","60000"
"4300455","Alegria (RS)","-","1700","7432"
"4300471","Almirante Tamandaré do Sul (RS)","-","930","16640"
"4300505","Alpestre (RS)","5","3300","1200"
"4300554","Alto Alegre (RS)","-","380","6000"
"4300570","Alto Feliz (RS)","-","150","-"
"4300604","Alvorada (RS)","-","-","35"
"4300638","Amaral Ferrador (RS)","153","1600","2000"
"4300646","Ametista do Sul (RS)","5","700","600"
"4300661","André da Rocha (RS)","-","4000","16000"
"4300703","Anta Gorda (RS)","5","3350","350"
"4300802","Antônio Prado (RS)","-","1500","-"
"4300851","Arambaré (RS)","13978","78","8630"
"4300877","Araricá (RS)","-","-","-"
"4300901","Aratiba (RS)","-","2500","1200"
"4301008","Arroio do Meio (RS)","-","1300","1000"
"4301057","Arroio do Sal (RS)","-","50","-"
"4301073","Arroio do Padre (RS)","-","600","500"
"4301107","Arroio dos Ratos (RS)","-","400","4000"
"4301206","Arroio do Tigre (RS)","-","3150","9000"
"4301305","Arroio Grande (RS)","30263","1020","44530"
"4301404","Arvorezinha (RS)","1","1500","1700"
"4301503","Augusto Pestana (RS)","-","440","19500"
"4301552","Áurea (RS)","-","1200","6500"
"4301602","Bagé (RS)","8253","400","40000"
"4301636","Balneário Pinhal (RS)","528","4","70"
"4301651","Barão (RS)","1","780","-"
"4301701","Barão de Cotegipe (RS)","-","4148","6413"
"4301750","Barão do Triunfo (RS)","310","1000","800"
"4301800","Barracão (RS)","-","3000","25200"
"4301859","Barra do Guarita (RS)","-","500","1850"
"4301875","Barra do Quaraí (RS)","23738","-","1041"
"4301909","Barra do Ribeiro (RS)","12486","250","6100"
"4301925","Barra do Rio Azul (RS)","-","1100","1100"
"4301958","Barra Funda (RS)","1","450","3400"
"4302006","Barros Cassal (RS)","-","2000","9000"
"4302055","Benjamin Constant do Sul (RS)","-","600","1500"
"4302105","Bento Gonçalves (RS)","-","100","-"
"4302154","Boa Vista das Missões (RS)","3","3500","14800"
"4302204","Boa Vista do Buricá (RS)","-","1500","2350"
"4302220","Boa Vista do Cadeado (RS)","-","2000","41200"
"4302238","Boa Vista do Incra (RS)","-","1350","32700"
"4302253","Boa Vista do Sul (RS)","-","485","-"
"4302303","Bom Jesus (RS)","-","9500","9000"
"4302352","Bom Princípio (RS)","5","400","-"
"4302378","Bom Progresso (RS)","-","900","4400"
"4302402","Bom Retiro do Sul (RS)","34","160","400"
"4302451","Boqueirão do Leão (RS)","3","1600","700"
"4302501","Bossoroca (RS)","-","2000","50000"
"4302584","Bozano (RS)","-","410","13660"
"4302600","Braga (RS)","-","1000","7820"
"4302659","Brochier (RS)","1","165","-"
"4302709","Butiá (RS)","160","160","11000"
"4302808","Caçapava do Sul (RS)","2714","2000","24000"
"4302907","Cacequi (RS)","11156","600","33600"
"4303004","Cachoeira do Sul (RS)","25037","3500","105500"
"4303103","Cachoeirinha (RS)","...","...","..."
"4303202","Cacique Doble (RS)","-","850","9200"
"4303301","Caibaté (RS)","30","2480","15320"
"4303400","Caiçara (RS)","5","3000","3200"
"4303509","Camaquã (RS)","28730","4000","27000"
"4303558","Camargo (RS)","-","250","6250"
"4303608","Cambará do Sul (RS)","-","400","550"
"4303673","Campestre da Serra (RS)","-","1600","7000"
"4303707","Campina das Missões (RS)","-","2030","5514"
"4303806","Campinas do Sul (RS)","-","1800","16000"
"4303905","Campo Bom (RS)","-","30","-"
"4304002","Campo Novo (RS)","-","3000","11500"
"4304101","Campos Borges (RS)","-","190","9075"
"4304200","Candelária (RS)","7000","5160","19500"
"4304309","Cândido Godói (RS)","-","2642","8800"
"4304358","Candiota (RS)","900","1000","18000"
"4304408","Canela (RS)","-","150","-"
"4304507","Canguçu (RS)","337","10000","43000"
"4304606","Canoas (RS)","600","-","80"
"4304614","Canudos do Vale (RS)","-","300","-"
"4304622","Capão Bonito do Sul (RS)","-","3300","26500"
"4304630","Capão da Canoa (RS)","-","5","-"
"4304655","Capão do Cipó (RS)","-","720","63700"
"4304663","Capão do Leão (RS)","6167","340","9150"
"4304671","Capivari do Sul (RS)","9664","26","7000"
"4304689","Capela de Santana (RS)","1850","40","200"
"4304697","Capitão (RS)","-","50","-"
"4304705","Carazinho (RS)","-","3000","39720"
"4304713","Caraá (RS)","272","1100","40"
