wavelength;Glycine_max_1;Glycine_max_2;Glycine_max_3;Glycine_max_4;Glycine_max_5;Ipomoea_gradifolia_1;Ipomoea_gradifolia_2;Ipomoea_gradifolia_3;Ipomoea_gradifolia_4;Ipomoea_gradifolia_5;Euphorbia_heterophylla_1;Euphorbia_heterophylla_2;Euphorbia_heterophylla_3;Euphorbia_heterophylla_4;Euphorbia_heterophylla_5;Avena_sativa_1;Avena_sativa_2;Avena_sativa_3;Avena_sativa_4;Avena_sativa_5;Bidens_pilosa_1;Bidens_pilosa_2;Bidens_pilosa_3;Bidens_pilosa_4;Bidens_pilosa_5;Panicum_spp_1;Panicum_spp_2;Panicum_spp_3;Panicum_spp_4;Panicum_spp_5
325;-1.28E-03;2.39E-02;1.79E-02;1.10E-02;2.55E-02;9.96E-03;2.45E-02;1.86E-02;1.79E-02;4.31E-02;3.69E-02;1.52E-02;1.61E-02;2.20E-02;1.12E-02;1.44E-02;0.02791763;3.68E-02;3.69E-02;1.85E-02;4.01E-02;5.94E-02;0.030171511;5.34E-02;0.01954493;-0.00511299895686988_0.00983256179077199_0.0287054299475335;0.0102088274294866_0.0206074583200417_0.0216878066265632;0.0166862765971961_0.0244217189733758_0.0426424799822318;0.00162117215378108_0.0167880001147174_0.0432440966250903;-0.00645619489260697_-0.00920050234339985_0.0618945838074166
326;5.32E-03;1.83E-02;1.84E-02;0.014991016;2.09E-02;1.34E-02;1.90E-02;1.21E-02;0.015455806;3.32E-02;4.00E-02;2.32E-02;2.98E-02;2.16E-02;1.91E-02;1.87E-02;2.68E-02;3.59E-02;3.86E-02;5.95E-03;2.84E-02;5.29E-02;3.33E-02;4.15E-02;2.45E-02;-0.00375557789797567_0.0172180110296048_0.0235509738107154;-0.0023825973177349_0.0132586162596422_0.0181468899868409;0.0146559672013506_0.0126351557892889_0.0476874499388506;0.000964382541388632_0.0163526002079896_0.0235576362116922;-0.0166252326690131_-0.0142361482766429_0.0443974511407126
327;3.09E-02;3.11E-02;2.51E-02;3.57E-02;2.65E-02;2.30E-02;1.84E-02;1.76E-02;5.63E-03;2.07E-02;4.63E-02;4.47E-02;5.02E-02;2.85E-02;3.33E-02;3.45E-02;3.60E-02;4.62E-02;4.09E-02;3.22E-03;2.72E-02;3.24E-02;4.28E-02;4.48E-02;3.73E-02;0.0106274880495675_0.021750908312896_0.0111823585849167;0.00791549161687823_0.00884549998411916_0.0270518559694141;0.0243416935439029_0.0102546844086298_0.0619091631250182;0.0213774377602571_0.0271333859248786_0.0090615793752888;0.00290898547641379_0.0136452634972299_0.0328553215927419
328;2.32E-02;3.03E-02;2.35E-02;4.28E-02;2.51E-02;2.04E-02;2.29E-02;1.10E-02;1.06E-02;2.16E-02;4.19E-02;2.96E-02;2.78E-02;2.87E-02;1.37E-02;3.16E-02;3.53E-02;3.75E-02;0.04610129;3.91E-02;4.16E-02;4.45E-02;4.29E-02;6.05E-02;3.89E-02;0.0065651910608239_0.0231194649112566_0.00810824036054194;0.0107193073280298_0.024999985938678_0.0331129669734901;0.02404686935915_0.0088357329849768_0.0447081741357329;0.023746519521494_0.0139503580695557_0.0170393492838006;0.0119345269494074_0.0253406716828357_0.0457326418805467
329;1.50E-02;3.16E-02;2.10E-02;3.43E-02;2.06E-02;1.62E-02;1.50E-02;0.009636923;1.43E-02;1.19E-02;2.97E-02;2.53E-02;5.27E-03;1.65E-02;4.66E-03;2.49E-02;3.19E-02;2.45E-02;0.046135027;0.047438341;4.86E-02;4.60E-02;3.46E-02;5.94E-02;3.26E-02;0.00676798897184616_0.0205151216556541_0.00850502976832732;0.00717888056778855_0.0295503218511283_0.0320056236886084;0.023369288250959_0.00931874432198129_0.0241329163521991;0.0205107067403958_0.00703227493351937_0.0269330382952033;0.00957922432222487_0.023084602336023_0.0549042667491799
330;1.71E-02;3.76E-02;2.20E-02;1.55E-02;1.74E-02;1.51E-02;-4.03E-03;1.70E-02;1.26E-02;-6.70E-03;1.62E-02;4.27E-02;1.65E-03;-2.78E-03;1.77E-02;2.09E-02;2.99E-02;1.75E-02;4.03E-02;1.60E-02;4.26E-02;2.96E-02;2.37E-02;3.73E-02;2.37E-02;0.0158368582936974_0.0159183692497164_0.0108389794150226;0.00113451384365408_0.0159056552357793_0.0252387303333629;0.0253730750806316_0.0119412844233693_0.0138663274002681;0.0160505949946622_0.0147947329513196_0.030586527128951;-0.000177007327368766_0.010926282310724_0.0518322094851347
331;2.33E-02;3.74E-02;3.45E-02;1.58E-02;3.39E-02;1.92E-02;5.55E-03;2.05E-02;1.68E-02;1.91E-02;2.65E-02;4.78E-02;2.27E-02;2.59E-03;2.34E-02;2.23E-02;3.71E-02;3.74E-02;4.23E-02;1.91E-02;4.71E-02;4.24E-02;3.64E-02;3.17E-02;3.15E-02;0.0164913946736894_0.0196917110240303_0.0196286604948543;0.0153678636941265_0.0163346384748251_0.0321279259093366;0.0310695873028282_0.0192455381710715_0.02045929432402;0.0105859295046892_0.0207725389912638_0.0340913274197916;0.0121351519551219_0.0121833434423902_0.0553468522056775
332;2.30E-02;3.27E-02;4.48E-02;2.17E-02;4.66E-02;2.50E-02;1.98E-02;1.80E-02;2.18E-02;4.76E-02;3.90E-02;4.00E-02;4.17E-02;1.90E-02;1.98E-02;2.66E-02;4.28E-02;5.71E-02;4.44E-02;3.52E-02;5.18E-02;5.84E-02;5.01E-02;3.35E-02;4.17E-02;0.0113716623722726_0.0233542877721111_0.0218892681825439;0.0278287846511621_0.0232649037520105_0.0398340143913439;0.0314152538738673_0.0247442609517383_0.0301518650001628;0.00760306675022953_0.0215476197242115_0.034301376048906;0.0251229805282337_0.0155210442533567_0.0575266253295713
333;4.08E-03;2.59E-02;3.65E-02;1.49E-02;2.55E-02;2.78E-02;6.92E-03;7.67E-03;2.02E-02;2.52E-02;2.63E-02;2.05E-02;2.70E-02;2.85E-02;6.95E-03;3.11E-02;3.31E-02;4.25E-02;0.036186662;3.31E-02;4.24E-02;4.25E-02;3.55E-02;2.91E-02;0.035644766;0.00456477834070522_0.0160041970453829_0.00132953485435481;0.0101967131882044_0.0253212748512748_0.0315196797623119;0.0152054679546814_0.0204934880517034_0.0265169740643666;0.0111791827355551_0.0141511657185172_0.0266516918614572;0.0108962627594389_0.0053205338403797_0.0472127278450975
334;2.51E-03;2.45E-02;2.17E-02;0.018215666;1.96E-02;2.37E-02;7.64E-03;7.13E-03;1.84E-02;1.06E-02;1.88E-02;8.86E-03;1.54E-02;2.57E-02;6.75E-03;2.97E-02;3.01E-02;0.034834372;3.36E-02;3.28E-02;4.07E-02;3.60E-02;2.15E-02;2.95E-02;0.032389425;0.0052620530866786_0.00944047199051333_-0.00126720129874347;0.00504650264818235_0.0231565382673102_0.0253566477458559;0.00663905153885735_0.0179713186797431_0.0268772647960549;0.0172999139881451_0.0152758965960799_0.0244457970299135;-0.000719686029157761_0.00246761749857821_0.039830020281838
335;1.66E-02;2.70E-02;8.76E-03;2.87E-02;3.12E-02;1.57E-02;2.19E-02;1.59E-02;1.72E-02;1.38E-02;2.05E-02;8.80E-03;1.36E-02;1.47E-02;0.018127637;2.46E-02;3.44E-02;3.88E-02;3.77E-02;3.49E-02;4.53E-02;4.13E-02;1.72E-02;0.033181035;3.45E-02;0.0111574735801245_0.00650738124277976_0.0146610927468249;0.0160525195817831_0.0172982534732665_0.0227740576065161;0.00914939840067052_0.0172719576737125_0.0304312286072714;0.020523160854604_0.0245750829768693_0.0284859316880138;-0.0025836215309533_0.00879345751031133_0.0382301837164327
336;8.32E-03;0.020174026;1.03E-02;1.91E-02;2.51E-02;1.64E-02;1.47E-02;1.68E-02;1.27E-02;1.73E-02;1.85E-02;0.012113357;9.83E-03;1.26E-02;1.75E-02;2.69E-02;2.85E-02;3.31E-02;3.74E-02;2.50E-02;3.14E-02;2.86E-02;2.71E-02;2.50E-02;3.48E-02;0.00460949442242978_0.00436794836256534_0.0161135984126515;0.0186094215115166_0.00790378373247473_0.0102535557253753;0.009943455064752_0.00660846862549401_0.0192214834069206;0.00526557800126425_0.0266393663445518_0.0281849401362425;0.00224573637385598_0.0128298559642617_0.0369219832593792
337;2.91E-03;1.80E-02;1.72E-02;1.05E-02;2.18E-02;1.89E-02;1.46E-02;1.67E-02;1.12E-02;2.21E-02;0.020372974;2.00E-02;1.12E-02;1.80E-02;1.60E-02;3.32E-02;2.72E-02;2.98E-02;3.81E-02;0.021890236;2.51E-02;2.50E-02;3.64E-02;2.50E-02;0.034260105;0.00446138434850595_0.0082219986273347_0.0127079265868388;0.0201485277165113_0.00648428875724925_0.00766782388126667;0.0176028777106253_0.00344021465109202_0.0137593038054813;0.000417796672286154_0.0265748446866969_0.0328742234334846;0.00652760101195196_0.016335827674976_0.0378963348947956
338;1.55E-02;2.78E-02;2.29E-02;1.58E-02;3.34E-02;1.90E-02;3.59E-02;0.020102901;1.60E-02;0.027332213;2.99E-02;3.16E-02;2.11E-02;2.86E-02;2.05E-02;3.98E-02;3.82E-02;3.60E-02;4.26E-02;3.55E-02;4.12E-02;4.46E-02;3.55E-02;0.043556376;3.35E-02;0.0200484379508902_0.0195977697575272_0.0112740240213574;0.0244580330179302_0.0184801944406682_0.0245947296039276;0.0352173459572092_0.0169416582200016_0.02598795843003;0.021196474003054_0.0272016518975154_0.0459295147195853;0.00587224853721199_0.0197611598500815_0.0421630394173755
339;2.61E-02;2.76E-02;2.43E-02;2.05E-02;3.95E-02;2.18E-02;3.07E-02;2.38E-02;0.023911155;1.83E-02;3.54E-02;3.58E-02;2.60E-02;3.35E-02;2.08E-02;3.72E-02;0.035603176;4.03E-02;4.45E-02;3.78E-02;5.01E-02;4.70E-02;3.34E-02;4.91E-02;3.22E-02;0.0165673190211555_0.0204968772482249_0.0147675921967699;0.0203987634111502_0.0214132667424329_0.0227688225296896;0.0394540137004869_0.0205017777268035_0.036083735624394;0.023332586097238_0.0213466410868636_0.0396525352156732;0.0076527228935762_0.016355451521755_0.0487581457423182
340;2.83E-02;2.01E-02;2.44E-02;2.09E-02;3.78E-02;2.38E-02;9.36E-03;2.37E-02;2.70E-02;6.29E-03;3.45E-02;3.16E-02;2.51E-02;3.21E-02;1.81E-02;2.96E-02;2.60E-02;4.03E-02;4.37E-02;3.13E-02;4.94E-02;3.75E-02;3.13E-02;4.10E-02;3.04E-02;0.00374984782359339_0.0144002359626501_0.0175830978683038;0.0101228097530022_0.0159783467675821_0.0094568023582593;0.0315938828653337_0.0164866235053663_0.0394846379488299;0.01188438674592_0.0140291818805375_0.0225578966511339;0.00986193591309915_0.0102959214109264_0.0513369558103842
341;1.45E-02;1.57E-02;3.14E-02;1.33E-02;2.96E-02;1.56E-02;5.65E-03;1.12E-02;8.69E-03;1.90E-02;2.68E-02;1.99E-02;2.14E-02;2.62E-02;1.79E-02;2.80E-02;2.99E-02;3.37E-02;4.26E-02;2.84E-02;4.33E-02;4.02E-02;2.79E-02;2.60E-02;2.81E-02;0.0111688140520099_0.0138020308030216_0.00598109681114974;-0.00118017004434031_0.00977611966708091_0.0108721216557425;0.0210159026933108_0.0178454450687227_0.0326112957547833;0.00960137530602979_0.0174301522303626_0.0186277297589456;0.00647309735479887_0.0115671776337165_0.0364362556577911
342;5.31E-03;1.73E-02;2.79E-02;1.25E-02;0.021907133;1.19E-02;8.66E-03;8.38E-03;3.97E-03;2.40E-02;1.98E-02;0.015262604;1.94E-02;1.94E-02;1.61E-02;3.13E-02;3.36E-02;3.06E-02;3.71E-02;2.67E-02;0.034010785;3.75E-02;2.53E-02;2.12E-02;3.06E-02;0.0191133712628179_0.0127888863655368_0.00297398109252817;5.13606223956989E-05_0.00897074500776121_0.0113369891982762;0.0111290792054822_0.0192850912085145_0.0315253693600987;0.0117620394736541_0.0176215370991393_0.0200703969527249;0.00136215316157988_0.0126658767610091_0.0303607078444212
